"quad";"species";"individual";"microh";"ind";"x";"y";"diam";"height";"leaves";"demo";"pheno";"dryw";"ancho";"Sup_mm2";"Error";"lma";"sla";"radius";"xt";"yt";"id";"area";"gdist_min";"biomass"
1;"Linaria alpina";9;"open";"na";4.6;94.8;4.8;1.6;180;"a";"r";577;6.6;7.6594868538;15.2628245725;75.3314172363571;0.0132746739233969;2.4;4.6;94.8;1.9;18.0212503726346;77.6838446461532;103860
1;"moss";1;"moss";"1";9;9.9;2.6;0.6;50;"a";"v";NA;NA;NA;NA;NA;NA;1.3;9;9.9;1.1;5.28748491835981;58.2455695987008;NA
1;"moss";2;"moss";"2";16;5.4;2;0.4;100;"a";"v";NA;NA;NA;NA;NA;NA;1;16;5.4;1.2;3.12868930080462;52.5765181375923;NA
1;"moss";3;"moss";"3";21.2;3.1;15;0.3;80;"a";"v";NA;NA;NA;NA;NA;NA;7.5;21.2;3.1;1.3;175.98877317026;48.4050192484268;NA
1;"moss";4;"moss";"4";23.8;5.4;5.8;0.4;100;"a";"v";NA;NA;NA;NA;NA;NA;2.9;23.8;5.4;1.4;26.3122770197668;45.1655984656084;NA
1;"moss";5;"moss";"5";54.5;10.2;2.7;0.8;140;"a";"v";NA;NA;NA;NA;NA;NA;1.35;54.5;10.2;1.5;5.70203625071642;14.9100597919723;NA
1;"moss";6;"moss";"6";82.4;2.8;3.9;0.4;260;"a";"v";NA;NA;NA;NA;NA;NA;1.95;82.4;2.8;1.6;11.8968410663096;0;NA
1;"moss";7;"moss";"7";93;9.1;3.9;0.5;280;"a";"v";NA;NA;NA;NA;NA;NA;1.95;93;9.1;1.7;11.8968410663096;0;NA
1;"moss";8;"moss";"8";1;17.2;5.3;0.5;450;"a";"v";NA;NA;NA;NA;NA;NA;2.65;1;17.2;1.8;21.9712206149004;64.5771854154665;NA
1;"moss";9;"moss";"9";48.8;14.1;4.3;0.5;300;"a";"v";NA;NA;NA;NA;NA;NA;2.15;48.8;14.1;1.9;14.4623662929693;18.6971999114459;NA
1;"moss";10;"moss";"10";70.4;18.2;3.6;0.8;230;"a";"v";NA;NA;NA;NA;NA;NA;1.8;70.4;18.2;1.1;10.136953334607;0;NA
1;"moss";11;"moss";"11";23.6;42.8;4.5;0.7;400;"a";"v";NA;NA;NA;NA;NA;NA;2.25;23.6;42.8;1.11;15.8389895853234;41.4627332271709;NA
1;"moss";12;"moss";"12";50.5;43.7;2.1;0.8;80;"a";"v";NA;NA;NA;NA;NA;NA;1.05;50.5;43.7;1.12;3.44937995413709;15.0908735359749;NA
1;"moss";13;"moss";"13";77;42;3.2;0.9;270;"a";"v";NA;NA;NA;NA;NA;NA;1.6;77;42;1.13;8.00944461005981;0;NA
1;"moss";14;"moss";"14";58.4;57.8;6.4;0.9;450;"a";"v";NA;NA;NA;NA;NA;NA;3.2;58.4;57.8;1.14;32.0377784402393;12.4793569094976;NA
1;"moss";15;"moss";"15";65;82.5;3.2;0.7;300;"a";"v";NA;NA;NA;NA;NA;NA;1.6;65;82.5;1.15;8.0094446100598;23.6774708833628;NA
1;"moss";16;"moss";"16";76.4;76.8;4.1;0.6;450;"a";"v";NA;NA;NA;NA;NA;NA;2.05;76.4;76.8;1.16;13.1483167866314;12.5066430746845;NA
1;"moss";17;"moss";"17";56.4;89.7;3.8;0.8;230;"a";"v";NA;NA;NA;NA;NA;NA;1.9;56.4;89.7;1.17;11.2945683759047;34.7376470513643;NA
1;"moss";18;"moss";"18";66.8;88.4;2.9;0.8;220;"a";"v";NA;NA;NA;NA;NA;NA;1.45;66.8;88.4;1.18;6.57806925494169;27.4132552024128;NA
1;"moss";19;"moss";"19";88.5;90.6;4.4;0.9;340;"a";"v";NA;NA;NA;NA;NA;NA;2.2;88.5;90.6;1.19;15.1428562158944;20.4198053229941;NA
1;"Oxytropis jacquinii";1;"open";"na";95;61.4;4.6;2;8;"a";"v";8766;28.9;110.1825746502;6.756449042;79.5588597183329;0.0125693103639288;2.3;95;61.4;1.1;16.5507664012564;0;70128
1;"Poa alpina";1;"moss";"18";65.8;90.1;1.4;1.3;5;"j";"v";1046;11.1;4.8243630812;21.6939078752;216.816185348102;0.00461220179847036;0.7;65.8;90.1;1.1;1.53305775739427;29.3852420465316;5230
1;"Poa alpina";2;"open";"na";96.8;69.4;1.8;2;3;"j";"v";1237;18.9;6.1361884064;24.4158878505;201.590941814925;0.00496054034470493;0.9;96.8;69.4;1.2;2.53423833365176;0;3711
1;"Pritzelago alpina";1;"moss";"7";94.1;9.5;0.8;0.5;8;"j";"v";813;4.2;6.6093057368;11.1713665944;123.008381269653;0.00812952735153752;0.4;94.1;9.5;1.1;0.500590288128738;0;6504
1;"Saxifraga oppositifolia";1;"open";"na";55;45.3;5.7;1.8;350;"a";"v";354.833333333333;3;2.9820728704;12.9807692308;118.988820446141;NA;2.85;55;45.3;1.1;25.4127788457855;11.0887214762909;124191.666666667
1;"Sedum atratum";1;"moss";"1";8.5;9.7;1;0.9;20;"a";"v";272;2.1;2.5304608732;9.0651558074;107.490300632877;0.009303164975;0.5;8.5;9.7;1.1;0.782172325201155;58.7784436316689;5440
1;"Sedum atratum";2;"open";"na";72.2;5.8;0.9;1.2;20;"a";"v";423;3.9;6.1612779618;13.7870855148;68.6545879966146;0.0145656689404255;0.45;72.2;5.8;1.2;0.633559583412932;2.2617317274921;8460
1;"Sedum atratum";3;"open";"na";87;5.8;0.5;0.6;12;"j";"v";179;2;1.0430086602;36.0824742268;171.61890100287;0.00582686402346369;0.25;87;5.8;1.3;0.195543081300286;0;2148
1;"Sedum atratum";4;"open";"na";7.4;20.4;0.7;0.6;15;"a";"v";426;5.5;12.0716603696;5.5819477435;35.2892631963697;0.028337230914554;0.35;7.4;20.4;1.4;0.383264439348566;57.8219226064954;6390
1;"Sedum atratum";5;"open";"na";74.8;25;0.8;0.7;20;"a";"v";417;3.1;5.627228854;8.7898089172;74.1039703234362;0.0134945536067146;0.4;74.8;25;1.5;0.500590288128737;0;8340
1;"Sedum atratum";6;"open";"na";68.7;30.2;1.4;0.9;35;"a";"v";724;4.8;10.6021292676;7.3698444895;68.2881694540866;0.0146438249552486;0.7;68.7;30.2;1.6;1.53305775739426;0;25340
1;"Sedum atratum";7;"open";"na";51;54.7;1.8;1.4;50;"a";"v";1401;7.3;18.5232603296;4.8761609907;75.6346331623497;0.0132214563380443;0.9;51;54.7;1.7;2.53423833365174;17.8757597553059;70050
1;"Sedum atratum";8;"open";"na";56.4;86.5;1.2;0.8;35;"a";"v";588;4.4;7.670235508;6.3551401869;76.6599668793377;0.0130446182108844;0.6;56.4;86.5;1.8;1.12632814828966;32.3043479614906;20580
1;"Sedum atratum";9;"moss";"15";66;82.8;0.8;1.4;20;"a";"v";535;2.5;6.5125317374;6.3291139241;82.1493117534638;0.0121729565185047;0.4;66;82.8;1.9;0.500590288128737;23.2627394801311;10700
1;"Sedum atratum";10;"open";"na";20.2;82.2;1.2;0.8;35;"a";"v";894;4.3;10.465928824;5.2054794521;85.4200343833716;0.01170685550783;0.6;20.2;82.2;1.1;1.12632814828966;57.7991761668722;31290
1;"Sedum atratum";11;"moss";"8";0.8;17.7;1.4;1.6;30;"a";"v";904;5.5;12.0716603696;5.5819477435;74.8861359847845;0.0133536066035398;0.7;0.8;17.7;1.11;1.53305775739426;64.7042236780069;27120
